Row,Burstiness Ratio,Average Gap,Run Lengths
1903,0.75,2.0625,"[1, 7, 7, 3, 6, 7, 2, 1, 1, 2, 2, 1, 21]"
1904,0.2,14.6,"[1, 2, 1, 1, 1]"
1905,0.25,12.5,"[2, 1, 1, 1]"
1906,0.2,14.6,"[1, 2, 1, 1, 1]"
1907,0.2,14.6,"[1, 2, 1, 1, 1]"
1908,0.2,14.6,"[1, 2, 1, 1, 1]"
1909,0.2,14.6,"[1, 2, 1, 1, 1]"
1910,0.2,14.6,"[1, 2, 1, 1, 1]"
1911,0.0,12.5,"[1, 1, 1, 1, 1]"
1912,0.0,24.333333333333332,"[1, 1, 1, 1]"
1913,0.25,12.5,"[2, 1, 1, 1]"
1914,0.2,14.6,"[1, 2, 1, 1, 1]"
1915,0.2,14.6,"[1, 2, 1, 1, 1]"
1916,0.2,14.6,"[1, 2, 1, 1, 1]"
1917,0.2,14.6,"[1, 2, 1, 1, 1]"
1918,0.0,14.6,"[1, 1, 1, 1, 1, 1]"
1919,0.14285714285714285,10.428571428571429,"[1, 1, 1, 1, 1, 3, 1]"
1920,0.2222222222222222,8.11111111111111,"[1, 1, 1, 2, 3, 1, 1, 1]"
1921,0.0,16.666666666666668,"[1, 1, 1, 1]"
1922,0.16666666666666666,4.888888888888889,"[1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 3, 1]"
1923,0.25,9.125,"[1, 1, 2, 3, 1, 1, 1]"
1924,0.0,16.666666666666668,"[1, 1, 1, 1]"
1925,0.0,27.666666666666668,"[1, 1, 1, 1]"
1926,0.2,14.6,"[1, 2, 1, 1, 1]"
1927,0.2,14.6,"[1, 2, 1, 1, 1]"
1928,0.25,12.5,"[2, 1, 1, 1]"
1929,0.0,18.25,"[1, 1, 1, 1, 1]"
1930,0.25,17.75,"[3, 1, 1, 1]"
1931,0.5,7.5,"[5, 3, 1, 1, 1, 5]"
1932,0.16666666666666666,12.166666666666666,"[1, 2, 1, 1, 1, 1]"
1933,0.2,14.6,"[1, 2, 1, 1, 1]"
1934,0.4,7.9,"[1, 1, 7, 1, 1, 1, 1]"
1935,0.2,14.6,"[1, 2, 1, 1, 1]"
